名称,区,板块,具体地址,面积（㎡）,房型,租价（元/月）
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.78㎡,东,1房间1卫
独栋·北京企鹅公寓 南法信店 物业急租  特价小开间 开间,,,,12.00㎡,,1室0厅1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.00㎡,北,1房间1卫
独栋·员宿 员宿北京大兴生物制药基地店 园区首选限时特惠 开间,,,,25.00㎡,,1室0厅1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.78㎡,东,1房间1卫
独栋·ZOME己美 北京后沙峪D36栋 精致套房 开间,,,,20.00㎡,,1室0厅1卫
整租·南厂东区 1室1厅 南,昌平,南口,南厂东区,38.70㎡,南,1室1厅1卫
独栋·欣悦青年社区 天通苑北店 温馨一居室 1室1厅,,,,20.00㎡,,1室1厅1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
独栋·德彩创意公寓 俸伯青年社区 精致独卫大床房 1室1厅,,,,18.00-30.00㎡,,1室1厅1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,19.83㎡,东,1房间1卫
整租·北街家园五区 2房间 南,昌平,沙河,北街家园五区,18.78㎡,南,2房间1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.06㎡,北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
整租·高教大楼 1房间 西南/北,昌平,沙河,高教大楼,18.00㎡,西南 北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.00㎡,南,1房间1卫
整租·高教大楼 1房间 东,昌平,沙河,高教大楼,18.88㎡,东,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.06㎡,南,1房间1卫
整租·高教大楼 1房间 北,昌平,沙河,高教大楼,18.06㎡,北,1房间1卫
整租·高教大楼 1房间 南,昌平,沙河,高教大楼,18.99㎡,南,1房间1卫
独栋·ZOME己美 北京后沙峪D36栋 精致套房 开间,,,,20.00㎡,,1室0厅1卫
整租·宾阳里小区 1室1厅 南,密云,鼓楼街道,宾阳里小区,39.59㎡,南,1室1厅1卫
独栋·欣悦青年社区 崔各庄店 温馨公寓开间 开间,,,,30.00㎡,,1室0厅1卫
整租·众美MIMO公馆 2房间 南,大兴,大兴新机场,众美MIMO公馆,23.02㎡,南,2房间1卫
独栋·欣悦青年社区 天通苑北店 温馨一居室 1室1厅,,,,20.00㎡,,1室1厅1卫
整租·樱花园 1室1厅 南,朝阳,惠新西街,樱花园,39.55㎡,南,1室1厅1卫
整租·卡夫卡公社 2房间 西,朝阳,定福庄,卡夫卡公社,32.00㎡,西,2房间1卫
整租·润枫嘉尚 1房间 南,朝阳,石佛营,润枫嘉尚,40.00㎡,南,1房间1卫
整租·和平里七区 1室1厅 南,东城,和平里,和平里七区,35.00㎡,南,1室1厅1卫
整租·朱各庄小区 1室1厅 南,海淀,万寿路,朱各庄小区,38.40㎡,南,1室1厅1卫
整租·新外大街28号院 1室1厅 南,西城,德胜门,新外大街28号院,39.90㎡,南,1室1厅1卫
整租·奥北南区 1室1厅 北,朝阳,立水桥,奥北南区,31.33㎡,北,1室1厅1卫
整租·新裕家园 1室0厅 北,东城,崇文门,新裕家园,36.00㎡,北,1室0厅1卫
整租·广安门内大街 1室1厅 西,西城,牛街,广安门内大街,35.00㎡,西,1室1厅1卫
整租·西草市东街甲34号院 1室1厅 南,东城,天坛,西草市东街甲34号院,31.77㎡,南,1室1厅1卫
整租·7克拉 1室1厅 东,丰台,马家堡,7克拉,39.92㎡,东,1室1厅1卫
整租·荣丰2008 1室1厅 东,西城,广安门,荣丰2008,31.92㎡,东,1室1厅1卫
整租·小黄庄前街2号院 1室1厅 南,朝阳,安贞,小黄庄前街2号院,39.91㎡,南,1室1厅1卫
整租·五福玲珑居南区 1室1厅 南,海淀,四季青,五福玲珑居南区,38.29㎡,南,1室1厅1卫
整租·荣京丽都 2房间 东南,亦庄开发区,亦庄,荣京丽都,36.00㎡,东南,2房间1卫
整租·天天朝阳 1室1厅 西,朝阳,甘露园,天天朝阳,38.12㎡,西,1室1厅1卫
整租·平乐园小区 1室1厅 南,朝阳,北工大,平乐园小区,36.90㎡,南,1室1厅1卫
整租·西三环北路86号院 1室0厅 东/南,海淀,甘家口,西三环北路86号院,37.00㎡,东 南,1室0厅1卫
整租·美立方 1房间 北,朝阳,北苑,美立方,38.00㎡,北,1房间1卫
整租·万寿路26号院 1室1厅 南,海淀,公主坟,万寿路26号院,40.00㎡,南,1室1厅1卫
整租·温家街2号院 1室1厅 南,西城,金融街,温家街2号院,36.20㎡,南,1室1厅1卫
整租·安宁佳园 1室0厅 南,海淀,安宁庄,安宁佳园,38.00㎡,南,1室0厅1卫
整租·东亚上北中心 1室1厅 北,昌平,回龙观,东亚上北中心,38.43㎡,北,1室1厅1卫
整租·点击未来 1室0厅 西北,朝阳,望京,点击未来,38.80㎡,西北,1室0厅1卫
整租·万寿路1号院 1室1厅 南,海淀,万寿路,万寿路1号院,37.00㎡,南,1室1厅1卫
整租·东亚望京中心 2房间 东南,朝阳,望京,东亚望京中心,40.00㎡,东南,2房间1卫
整租·卡夫卡公社 2房间 南,朝阳,定福庄,卡夫卡公社,37.00㎡,南,2房间1卫
整租·莱圳家园 1室1厅 西,海淀,清河,莱圳家园,32.37㎡,西,1室1厅1卫
整租·飘HOME 1室0厅 北,朝阳,酒仙桥,飘HOME,39.84㎡,北,1室0厅1卫
整租·定慧西里 1室1厅 南,海淀,定慧寺,定慧西里,40.00㎡,南,1室1厅1卫
整租·紫金数码 1室1厅 东,海淀,中关村,紫金数码,39.48㎡,东,1室1厅1卫
整租·锡拉胡同21号院 1室1厅 南,东城,灯市口,锡拉胡同21号院,35.28㎡,南,1室1厅1卫
整租·知春里 1室1厅 南,海淀,双榆树,知春里,40.00㎡,南,1室1厅1卫
独栋·魔方公寓 北京三元桥店 三元桥稀缺户型 精致白领的最优选择 1室1厅,,,,35.00㎡,,1室1厅1卫
整租·瞰都国际 1室0厅 西北,朝阳,朝阳公园,瞰都国际,39.44㎡,西北,1室0厅1卫
独栋·共享际公寓 金台·共享际 开间 开间,,,,20.98-25.07㎡,,1室0厅1卫
整租·天作国际中心 1室0厅 南,海淀,皂君庙,天作国际中心,38.79㎡,南,1室0厅1卫
独栋·方隅公寓 天峰方隅公寓（中骏世界城店） 方隅公寓 全新家电 免费停车 首月立减 800 1室1厅,,,,37.00-42.00㎡,,1室1厅1卫
整租·育幼胡同 1室1厅 南,西城,官园,育幼胡同,36.60㎡,南,1室1厅1卫
独栋·魔方公寓 北京建国门店 光华路SOHO 近国贸商城的美丽公寓 长租折上折 1室1厅,,,,25.00㎡,,1室1厅1卫
整租·黄庄小区 1室1厅 东,海淀,中关村,黄庄小区,39.10㎡,东,1室1厅1卫
独栋·魔方公寓 北京建国门店 国贸板块步行可达地铁 押一付一无中介费 省心租房 1室1厅,,,,18.00㎡,,1室1厅1卫
整租·天鹅湾北区 1室1厅 东,朝阳,朝青,天鹅湾北区,39.56㎡,东,1室1厅2卫
独栋·魔方公寓 北京紫竹院店 海淀区整租一居室 近首师大 北外 北舞 省心租房月付无中介费 1室1厅,,,,30.00㎡,,1室1厅1卫
整租·紫金印象 1室1厅 西,西城,右安门内,紫金印象,31.02㎡,西,1室1厅1卫
整租·荣丰2008 1室1厅 南,西城,广安门,荣丰2008,31.52㎡,南,1室1厅2卫
整租·扣钟北里西区 1室1厅 南,西城,阜成门,扣钟北里西区,33.00㎡,南,1室1厅1卫
独栋·融寓 北苑店 紧邻五号线地铁站 限时特惠 朝南舒适单间 1室1厅,,,,30.00-32.00㎡,,1室1厅1卫
整租·钢铁研究院 1室1厅 南/北,海淀,白石桥,钢铁研究院,38.70㎡,南 北,1室1厅1卫
整租·知春东里 1室1厅 南,海淀,双榆树,知春东里,38.00㎡,南,1室1厅1卫
整租·团结湖北口 1室1厅 南/北,朝阳,团结湖,团结湖北口,36.26㎡,南 北,1室1厅1卫
独栋·魔方公寓 北京紫竹院店 紫竹院整租开间 免费停车 近首师大 北外 月付 省心租 1室1厅,,,,30.00㎡,,1室1厅1卫
整租·动物园宿舍 1室1厅 南,海淀,白石桥,动物园宿舍,39.00㎡,南,1室1厅1卫
独栋·魔方公寓 北京紫竹院店 近紫竹院公园一居室 地铁6号9号线800米距离 月付 省心租 1室1厅,,,,30.00㎡,,1室1厅1卫
整租·姚家井二巷 1室1厅 南,西城,陶然亭,姚家井二巷,39.31㎡,南,1室1厅1卫
独栋·魔方公寓 北京紫竹院店 近军事博物馆 首师大 北京动物园 一居室整租 月付无中介费 1室1厅,,,,30.00㎡,,1室1厅1卫
整租·中关村公馆 1室0厅 北,海淀,苏州桥,中关村公馆,40.00㎡,北,1室0厅1卫
独栋·魔方公寓 北京三元桥店 骑行即可到国贸 全新装修 拎包入住 直营无中介 1室1厅,,,,30.00㎡,,1室1厅1卫
整租·三里河北街5号院 1室1厅 南,西城,月坛,三里河北街5号院,39.00㎡,南,1室1厅1卫
独栋·魔方公寓 北京亮马水晶店 民水民电 近亮马桥酒仙桥 附赠超大阳台视野绝佳 1室1厅,,,,30.00-33.00㎡,,1室1厅1卫
整租·榆垡新城嘉园B区 1室1厅 南,大兴,大兴机场空港,榆垡新城嘉园B区,49.39㎡,南,1室1厅1卫
整租·榆垡新城嘉园D区 1室0厅 南,大兴,大兴机场空港,榆垡新城嘉园D区,54.00㎡,南,1室0厅1卫
整租·空港富苑2号院 1室1厅 南,大兴,大兴机场空港,空港富苑2号院,57.18㎡,南,1室1厅1卫
独栋·乐乎青年社区 次渠北地铁站 次渠北整租开间复式均有0中介无杂费 1室1厅,,,,20.00-40.00㎡,,1室1厅1卫
整租·空港雅苑2号院 1室1厅 南,大兴,大兴机场空港,空港雅苑2号院,57.18㎡,南,1室1厅1卫
独栋·乐乎青年社区 自远-北运河西地铁站店 北运河西地铁站100米-火热招租中 1室1厅,,,,25.00-40.00㎡,,1室1厅1卫
整租·板桥南街7号院 1室1厅 南,顺义,顺义其它,板桥南街7号院,56.62㎡,南,1室1厅1卫
整租·京畿道 1室1厅 西,西城,金融街,京畿道,41.40㎡,西,1室1厅1卫
整租·国瑞城东区 1室1厅 南,东城,崇文门,国瑞城东区,60.00㎡,南,1室1厅1卫
整租·纽约客 1室1厅 LOFT 东南,海淀,苏州桥,纽约客,53.41㎡,东南,1室1厅1卫
整租·西城晶华 1室1厅 东,西城,金融街,西城晶华,54.40㎡,东,1室1厅1卫
整租·万国城MOMA 1室0厅 南,东城,东直门,万国城MOMA,59.11㎡,南,1室0厅1卫
整租·东恒时代二期 1室1厅 西北,朝阳,四惠,东恒时代二期,55.00㎡,西北,1室1厅1卫
独栋·贝壳悠悠酒寓 梵屋中关村店可月租 开盲盒中关村核心地带、四号线沿线、拎包入住，水电全包 1室1厅,,,,60.00㎡,,1室1厅1卫
独栋·贝壳悠悠酒寓 简爱苹果汇店 地铁上盖+精品一居+布草齐全9 1室1厅,,,,58.00㎡,,1室1厅1卫
整租·庄胜二期 1室0厅 北,西城,宣武门,庄胜二期,53.00㎡,北,1室0厅1卫
整租·天鹅湾北区 1室1厅 跃层 东,朝阳,朝青,天鹅湾北区,47.00㎡,东,1室1厅2卫
整租·文华园 1室1厅 东南,西城,阜成门,文华园,54.50㎡,东南,1室1厅1卫
独栋·贝壳悠悠酒寓 简爱苹果汇店 精装一居+拎包入住+地铁上盖9 1室1厅,,,,59.00㎡,,1室1厅1卫
整租·东恒时代二期 1室1厅 西北,朝阳,四惠,东恒时代二期,56.00㎡,西北,1室1厅1卫
整租·华腾园 1室1厅 北,朝阳,双井,华腾园,59.90㎡,北,1室1厅1卫
独栋·贝壳悠悠酒寓 古城地铁店 影音大房+双床入住+布草齐全 1室1厅,,,,40.00㎡,,1室1厅1卫
整租·海淀南路36号 1室1厅 南,海淀,苏州桥,海淀南路36号,57.00㎡,南,1室1厅1卫
独栋·贝壳悠悠酒寓 顺义燕京桥格雅 顺义城区 酒店  一室一厅套房 1室1厅,,,,55.00㎡,,1室1厅1卫
整租·银河湾 1室1厅 南/北,朝阳,酒仙桥,银河湾,58.00㎡,南 北,1室1厅1卫
整租·立方庭 1室1厅 东,海淀,苏州桥,立方庭,46.75㎡,东,1室1厅1卫
整租·阳光100 1室0厅 北,朝阳,CBD,阳光100,48.00㎡,北,1室0厅1卫
整租·珠江罗马嘉园西区 1室1厅 西/北,朝阳,朝青,珠江罗马嘉园西区,59.75㎡,西 北,1室1厅1卫
整租·民康胡同30号院 1室1厅 东,西城,金融街,民康胡同30号院,56.90㎡,东,1室1厅1卫
独栋·贝壳悠悠酒寓 中欧（亮马桥附近） 一室一厅 1室1厅,,,,40.00㎡,,1室1厅1卫
整租·蓝堡国际公寓 1室0厅 西,朝阳,CBD,蓝堡国际公寓,45.00㎡,西,1室0厅1卫
整租·万科金阳 1室1厅 南,朝阳,石佛营,万科金阳,48.70㎡,南,1室1厅2卫
整租·羊肉胡同120号院 1室1厅 南,西城,金融街,羊肉胡同120号院,42.00㎡,南,1室1厅1卫
整租·宏汇园小区 1室1厅 西,西城,金融街,宏汇园小区,52.20㎡,西,1室1厅1卫
整租·核桃园北里 1室1厅 南/北,朝阳,东大桥,核桃园北里,52.45㎡,南 北,1室1厅1卫
整租·阳光100 1室0厅 北,朝阳,CBD,阳光100,54.00㎡,北,1室0厅1卫
整租·华清嘉园 1室1厅 北,海淀,五道口,华清嘉园,58.00㎡,北,1室1厅1卫
整租·朝阳门南小街 1室1厅 南,东城,朝阳门内,朝阳门南小街,55.10㎡,南,1室1厅1卫
整租·知春里 1室1厅 南,海淀,双榆树,知春里,51.90㎡,南,1室1厅1卫
整租·玺源台 1室1厅 南,西城,广安门,玺源台,52.00㎡,南,1室1厅1卫
整租·志强北园 1室1厅 东,海淀,小西天,志强北园,45.50㎡,东,1室1厅1卫
整租·UHN国际村 1室0厅 西北,朝阳,三元桥,UHN国际村,54.00㎡,西北,1室0厅1卫
整租·蜂鸟家园 1室1厅 北,海淀,万柳,蜂鸟家园,51.76㎡,北,1室1厅1卫
整租·新金山公寓 1室0厅 东,朝阳,朝阳门外,新金山公寓,58.00㎡,东,1室0厅1卫
整租·大河庄苑 1室1厅 南,海淀,苏州桥,大河庄苑,46.55㎡,南,1室1厅1卫
整租·钟声胡同 1室1厅 南,西城,西单,钟声胡同,46.90㎡,南,1室1厅1卫
整租·教委计生委大院 1室1厅 南,海淀,中关村,教委计生委大院,45.00㎡,南,1室1厅1卫
整租·文慧园15号16公寓 1室1厅 西,海淀,小西天,文慧园15号16公寓,59.98㎡,西,1室1厅1卫
整租·悠乐汇 1室1厅 西南,朝阳,望京,悠乐汇,55.45㎡,西南,1室1厅1卫
整租·保利海德公园 2房间 北,海淀,知春路,保利海德公园,44.99㎡,北,2房间1卫
整租·金星园 1室1厅 东,朝阳,三元桥,金星园,44.09㎡,东,1室1厅1卫
整租·丰侨公寓 1室1厅 西,西城,金融街,丰侨公寓,58.00㎡,西,1室1厅1卫
整租·北广家园 1室1厅 南,西城,六铺炕,北广家园,58.00㎡,南,1室1厅1卫
整租·葱店胡同2号院 1室1厅 南,西城,官园,葱店胡同2号院,50.10㎡,南,1室1厅1卫
整租·UHN国际村 1室1厅 西北,朝阳,三元桥,UHN国际村,52.34㎡,西北,1室1厅1卫
整租·京畿道 1室0厅 西,西城,金融街,京畿道,41.40㎡,西,1室0厅1卫
整租·远洋新干线 1室1厅 北,朝阳,燕莎,远洋新干线,56.84㎡,北,1室1厅1卫
整租·东后河沿 1室1厅 南,东城,崇文门,东后河沿,58.00㎡,南,1室1厅1卫
整租·丰侨公寓 1室1厅 西,西城,金融街,丰侨公寓,57.36㎡,西,1室1厅1卫
整租·京畿道 1室1厅 南,西城,金融街,京畿道,44.00㎡,南,1室1厅1卫
整租·东直门内大街 1室1厅 东,东城,东直门,东直门内大街,59.00㎡,东,1室1厅1卫
整租·地杰长安驿 1室0厅 南,朝阳,建国门外,地杰长安驿,45.47㎡,南,1室0厅1卫
整租·华严北里小区 1室1厅 西,朝阳,健翔桥,华严北里小区,47.43㎡,西,1室1厅1卫
整租·东恒时代二期 1室1厅 西北,朝阳,四惠,东恒时代二期,55.00㎡,西北,1室1厅1卫
整租·龙湖唐宁one 1室1厅 北,海淀,五道口,龙湖唐宁one,47.04㎡,北,1室1厅1卫
整租·铁二区 1室1厅 南,西城,月坛,铁二区,42.00㎡,南,1室1厅1卫
整租·海淀南路 1室1厅 南,海淀,苏州桥,海淀南路,40.30㎡,南,1室1厅1卫
整租·佟麟阁路62号院 1室1厅 东南,西城,金融街,佟麟阁路62号院,43.90㎡,东南,1室1厅1卫
整租·建设部大院 1室1厅 南,海淀,甘家口,建设部大院,57.00㎡,南,1室1厅1卫
整租·地杰长安驿 1室0厅 北,朝阳,建国门外,地杰长安驿,45.47㎡,北,1室0厅1卫
整租·保利海德公园 3房间 北,海淀,知春路,保利海德公园,45.00㎡,北,3房间2卫
整租·三里河二区A区 1室1厅 南,西城,月坛,三里河二区A区,53.30㎡,南,1室1厅1卫
整租·和平新城一期 1室0厅 北,东城,和平里,和平新城一期,55.81㎡,北,1室0厅1卫
整租·铁二区 1室1厅 南/北,西城,月坛,铁二区,43.80㎡,南 北,1室1厅1卫
整租·丰汇园小区 1室1厅 东,西城,金融街,丰汇园小区,50.00㎡,东,1室1厅1卫
整租·三里河二区A区 1室1厅 南,西城,月坛,三里河二区A区,53.30㎡,南,1室1厅1卫
整租·丰汇园小区 1室1厅 南,西城,金融街,丰汇园小区,48.30㎡,南,1室1厅1卫
整租·和平新城一期 1室0厅 北,东城,和平里,和平新城一期,55.81㎡,北,1室0厅1卫
整租·豆瓣胡同 1室1厅 南,东城,朝阳门内,豆瓣胡同,48.00㎡,南,1室1厅1卫
整租·世界城 1房间 南,朝阳,东大桥,世界城,57.40㎡,南,1房间1卫
整租·温馨家园 1室1厅 东南,西城,木樨地,温馨家园,58.00㎡,东南,1室1厅1卫
整租·天鹅湾北区 1室2厅 南,朝阳,朝青,天鹅湾北区,50.87㎡,南,1室2厅2卫
整租·公园五号 1室0厅 东,朝阳,甜水园,公园五号,58.51㎡,东,1室0厅1卫
整租·民康胡同30号院 1室1厅 西,西城,金融街,民康胡同30号院,48.80㎡,西,1室1厅1卫
整租·东大桥路 1室1厅 南,朝阳,朝阳门外,东大桥路,45.24㎡,南,1室1厅1卫
整租·龙湖唐宁one 1房间 北,海淀,五道口,龙湖唐宁one,47.00㎡,北,1房间1卫
整租·百万庄中里 1室1厅 东,西城,阜成门,百万庄中里,41.00㎡,东,1室1厅1卫
整租·三里河二区A区 1室1厅 南,西城,月坛,三里河二区A区,53.30㎡,南,1室1厅1卫
整租·首开铂郡8号院 1室1厅 东,朝阳,三里屯,首开铂郡8号院,57.00㎡,东,1室1厅1卫
整租·南礼士路46号院 1室1厅 西,西城,月坛,南礼士路46号院,57.72㎡,西,1室1厅1卫
整租·金茂府南区 1房间 东,朝阳,大望路,金茂府南区,57.00㎡,东,1房间1卫
整租·龙湖唐宁one 1房间 南,海淀,五道口,龙湖唐宁one,51.00㎡,南,1房间1卫
整租·阳光100 1室1厅 北,朝阳,CBD,阳光100,49.00㎡,北,1室1厅1卫
整租·北广家园 1室1厅 南,西城,六铺炕,北广家园,56.77㎡,南,1室1厅1卫
整租·龙湖唐宁one 1房间 北,海淀,五道口,龙湖唐宁one,51.00㎡,北,1房间1卫
整租·永利国际 2房间 北,朝阳,工体,永利国际,57.24㎡,北,2房间2卫
整租·华彩国际公寓 1室1厅 南,朝阳,望京,华彩国际公寓,52.81㎡,南,1室1厅1卫
整租·远洋新干线 1室1厅 北,朝阳,燕莎,远洋新干线,50.00㎡,北,1室1厅1卫
整租·龙湖唐宁one 1室1厅 北,海淀,五道口,龙湖唐宁one,47.04㎡,北,1室1厅1卫
整租·国瑞城中区 1室1厅 东,东城,崇文门,国瑞城中区,56.00㎡,东,1室1厅1卫
整租·大河庄苑 1室1厅 西,海淀,苏州桥,大河庄苑,56.89㎡,西,1室1厅1卫
整租·京畿道 1室1厅 西,西城,金融街,京畿道,41.40㎡,西,1室1厅1卫
整租·龙湖唐宁one 1室1厅 南,海淀,五道口,龙湖唐宁one,51.00㎡,南,1室1厅1卫
整租·丰汇园小区 1室1厅 西,西城,金融街,丰汇园小区,54.20㎡,西,1室1厅1卫
整租·双榆树东里 1室1厅 南,海淀,双榆树,双榆树东里,44.20㎡,南,1室1厅1卫
整租·天鹅湾北区 1室1厅 西,朝阳,朝青,天鹅湾北区,46.88㎡,西,1室1厅2卫
整租·石韵浩庭 1室1厅 东,朝阳,大望路,石韵浩庭,58.77㎡,东,1室1厅1卫
整租·豆瓣胡同 1室1厅 南,东城,朝阳门内,豆瓣胡同,48.00㎡,南,1室1厅1卫
整租·牛街西里 1室1厅 东,西城,牛街,牛街西里,57.67㎡,东,1室1厅1卫
整租·天鹅湾北区 1室2厅 南,朝阳,朝青,天鹅湾北区,50.87㎡,南,1室2厅2卫
整租·龙湖唐宁one 1室1厅 南,海淀,五道口,龙湖唐宁one,51.76㎡,南,1室1厅1卫
整租·红杉国际公寓 1室0厅 东/北,海淀,五道口,红杉国际公寓,50.39㎡,东 北,1室0厅1卫
整租·公园五号 1室0厅 东,朝阳,甜水园,公园五号,58.51㎡,东,1室0厅1卫
整租·民康胡同30号院 1室1厅 西,西城,金融街,民康胡同30号院,48.80㎡,西,1室1厅1卫
整租·地杰长安驿 1室1厅 北,朝阳,建国门外,地杰长安驿,45.47㎡,北,1室1厅1卫
整租·中国铁建广场 1房间 北,朝阳,北苑,中国铁建广场,56.40㎡,北,1房间0卫
整租·龙湖唐宁one 1房间 北,海淀,五道口,龙湖唐宁one,50.00㎡,北,1房间1卫
整租·阳光100 1室1厅 北,朝阳,CBD,阳光100,54.00㎡,北,1室1厅1卫
整租·海格国际 1室1厅 东,西城,宣武门,海格国际,55.78㎡,东,1室1厅1卫
整租·阳光100 1室1厅 北,朝阳,CBD,阳光100,54.02㎡,北,1室1厅1卫
整租·红联南村46号院 1室1厅 南,海淀,小西天,红联南村46号院,45.30㎡,南,1室1厅1卫
整租·劲松三区 1室1厅 南/北,朝阳,劲松,劲松三区,53.05㎡,南 北,1室1厅1卫
整租·炫特嘉园一期 1室1厅 西,朝阳,石佛营,炫特嘉园一期,59.90㎡,西,1室1厅1卫
整租·世界城 2房间 北,朝阳,东大桥,世界城,57.00㎡,北,2房间1卫
整租·首开幸福广场 1室0厅 南,朝阳,工体,首开幸福广场,50.84㎡,南,1室0厅1卫
整租·新华联国际 2房间 南,海淀,公主坟,新华联国际,46.47㎡,南,2房间1卫
整租·丰侨公寓 1室1厅 东北,西城,金融街,丰侨公寓,57.08㎡,东北,1室1厅1卫
整租·国瑞城西区 1室0厅 东,东城,崇文门,国瑞城西区,59.30㎡,东,1室0厅1卫
整租·荣上居 1室1厅 东,海淀,中关村,荣上居,56.64㎡,东,1室1厅1卫
整租·瞰都国际 1室1厅 西北,朝阳,朝阳公园,瞰都国际,56.03㎡,西北,1室1厅1卫
独栋·魔尔公寓 北京国贸店 国贸区核心区域性价比之王的高端品牌公寓  拎包入住快乐租房 1室1厅,,,,50.00㎡,,1室1厅1卫
整租·禾风相府 1室1厅 西,东城,金宝街,禾风相府,57.00㎡,西,1室1厅1卫
独栋·魔尔公寓 北京国贸店 近国贸CBD 高端服务式公寓旅居出差优选 直营无中介 1室1厅,,,,40.00㎡,,1室1厅1卫
整租·北京城建·天坛府 1室1厅 东,东城,永定门,北京城建·天坛府,60.00㎡,东,1室1厅1卫
独栋·魔尔公寓 北京国贸店 国贸0距离的港湾 配套超大健身瑜伽房  长租优惠 快乐租房 1室1厅,,,,40.00㎡,,1室1厅1卫
整租·华远北街 1室1厅 西,西城,金融街,华远北街,54.00㎡,西,1室1厅1卫
独栋·魔尔公寓 北京国贸店 东三环近国贸独立停车位 入室保洁 高层视野绝佳 1室1厅,,,,50.00㎡,,1室1厅1卫
整租·西城晶华 1室1厅 东,西城,金融街,西城晶华,54.40㎡,东,1室1厅1卫
独栋·魔尔公寓 北京国贸店 国贸正中心 南向投影房！大飘窗采光绝佳  年租特惠 1室1厅,,,,40.00㎡,,1室1厅1卫
整租·远中悦莱 1室1厅 东,海淀,苏州桥,远中悦莱,60.00㎡,东,1室1厅1卫
独栋·魔尔公寓 北京国贸店 国贸正中心 一居室整租 超大窗采光俯瞰CBD 月付无中介费 1室1厅,,,,50.00㎡,,1室1厅1卫
整租·国瑞城东区 1室1厅 南,东城,崇文门,国瑞城东区,60.00㎡,南,1室1厅1卫
整租·华清嘉园 1室1厅 北,海淀,五道口,华清嘉园,58.00㎡,北,1室1厅1卫
